模块,产品支持范围,实施方验收,用户接手验收,实机状态,目标工程交付_5
打字对话,现有chat/provider/工具流；有界输出与逐turn持久恢复,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,真实模型质量、供应商限流和付费回执,pending：不预填通过,4.9
云端语音 cloud,cloud：Windows系统Web Speech识别、通用chat、Edge TTS；系统识别不可用须明确提示,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,麦克风、扬声器回声、系统ASR和Edge实际可用性,pending：不预填通过,4.9
本地语音 local,local：Sherpa ASR/refiner、所选LLM、默认Kokoro TTS；可选SoVITS；不承诺LLM离线,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,已安装模型、设备性能、冷启和本地语音效果,pending：不预填通过,4.9
火山语音 volc 默认级联,volc：seed-asr、通用chat、seed-tts；可选Edge；默认级联链,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,真实账号资源、凭据、网络及语音效果,pending：不预填通过,4.9
可选 realtime 子链,realtime为现有可选子链，独立开关/历史/重连/handoff,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,远端协议与设备双向音频；独立于三条默认链验收,pending：不预填通过,4.9
会议纪要,持久音频批次/ACK和未ACK本机队列；保留原段按缺口重试；摘要源版本/完整输入快照，旧来源明确未知；原稿上限1Mi Unicode字符且超限不裁尾，原稿/来源每页16384字符、分段每页10条；版本局部编辑/完整导出，4MiB桥接帧不扩容,600音频组合/1000状态交错、真实SQLite迁移/重开、原稿聚合并发/NUL/超限停止/失败跨度恢复、长稿分页与冲突/迟到回包专项通过；统一门禁待执行,真实麦克风/系统音频、长会、睡眠/热拔插,pending：不预填通过,4.9
同事聊天,可信配对、每收件人outbox/落盘ACK、文件确认、分页；文件最多32MiB,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,两台以上真实设备的发现、网络、拒绝/接收文件,pending：不预填通过,4.9
电脑控制,已有Windows Host接口、目标身份、撤权、急停、未决intent恢复和配置CAS,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,白名单应用真实UIA/输入法/DPI/多屏和急停耗时,pending：不预填通过,4.9
项目管理,三类项目阶段/交付物门禁，100活跃项目/组织；归档不占活跃配额,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,实际项目验收标准与交付物业务正确性,pending：不预填通过,4.9
计划与工作流,计划接现有agentrun、任务工作区、真实文件摘要；本地dev/stage制品发布,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,真实模型/工具生成质量；正式外部prod需配置真实执行协议,pending：不预填通过,4.9
技能中心,GitHub固定40位提交SHA的ZIP内SKILL.md prompt导入、静态检查/批准/发布/CAS及调用；导入正文，支持脚本不安装,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,实际来源下载与技能使用效果,pending：不预填通过,4.9
插件与能力包中心,已实现的内置能力和能力包；服务端依赖所有权/恢复；不新增任意TS/npm插件平台,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,真实组合环境下安装/停用与用户业务效果,pending：不预填通过,4.9
MCP,既有HTTPS GET工具协议（非标准Streamable HTTP）及stdio；凭据目标绑定、租约、pin和精确启动版本锁,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,被支持的真实服务器、凭据轮换、网络故障与供应链现场验证,pending：不预填通过,4.9
专家中心,正文/版本/装备快照一致，知识源与当前引用受控,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,专家业务输出质量；外部材料正确性,pending：不预填通过,4.9
资产管理,有界上传/分片、请求幂等、组织分页和引用对账；资产文件10MiB,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,真实文件工作流、磁盘容量和备份外部介质,pending：不预填通过,4.9
后台设置与模型配置,持久版本CAS、草稿冲突、已保存与实际生效状态；诊断区分配置和可用,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,实际模型服务配置、系统设备/凭据实际可用性,pending：不预填通过,4.9
外部数据库连接,MySQL/PostgreSQL现有连接；默认只读；显式本机写审批/幂等/unknown,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,专用真实数据库、实际网络权限和管理员确认的写动作,pending：不预填通过,4.9
专家知识与资料查新,本地普通文本/Markdown/PDF/Office；32MiB、2M字符、10s/512MiB解析；源摘要/分页/主动刷新,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,实际文件语义、扫描件需另行OCR；不新增URL抓取或网络共享导入,pending：不预填通过,4.9
个人记忆与召回,主体/项目记忆隔离、到期清理、确认来源身份与设置CAS,正式自动化、异常/恢复、迁移、契约、构建与质量门禁；最终证据见phase2-verification,实际偏好是否合适、生成内容的业务事实核对,pending：不预填通过,4.9
