模块,权重,整改前_功能闭环_5,整改前_数据一致性_5,整改前_权限边界_5,整改前_失败恢复_5,整改前_可维护与验证_5,整改前模块均分_5,第一阶段历史暂评模块均分_5,第二阶段工程_功能闭环_5,第二阶段工程_数据一致性_5,第二阶段工程_权限边界_5,第二阶段工程_失败恢复_5,第二阶段工程_可维护与验证_5,第二阶段工程模块均分_5,工程目标_5,评分状态,评分口径,已交付支持范围,五维共同查证规则,专项证据,统一门禁状态,实机系统评分_5,用户待验范围
打字对话,2,3.8,3,3.8,3,3.4,3.40,4.10,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,现有chat/provider/工具流；有界输出与逐turn持久恢复,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-conversation.md；implementation/phase2-queue.md,待同一源码六组回执与逐模块复核,,真实模型质量、供应商限流和付费回执
云端语音 cloud,2,3.8,3.2,3.5,3.1,3.4,3.40,3.78,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,cloud：Windows系统Web Speech识别、通用chat、Edge TTS；系统识别不可用须明确提示,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-conversation.md,待同一源码六组回执与逐模块复核,,麦克风、扬声器回声、系统ASR和Edge实际可用性
本地语音 local,2,3,2.8,3.5,2.3,2.4,2.80,3.72,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,local：Sherpa ASR/refiner、所选LLM、默认Kokoro TTS；可选SoVITS；不承诺LLM离线,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-conversation.md,待同一源码六组回执与逐模块复核,,已安装模型、设备性能、冷启和本地语音效果
火山语音 volc 默认级联,2,3.7,3.1,3.4,3,3.3,3.30,3.78,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,volc：seed-asr、通用chat、seed-tts；可选Edge；默认级联链,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-conversation.md,待同一源码六组回执与逐模块复核,,真实账号资源、凭据、网络及语音效果
可选 realtime 子链,1,2.7,1.6,3,1.8,2.4,2.30,3.74,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,realtime为现有可选子链，独立开关/历史/重连/handoff,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-conversation.md,待同一源码六组回执与逐模块复核,,远端协议与设备双向音频；独立于三条默认链验收
会议纪要,2,3.4,1.8,3.3,1.9,2.6,2.60,3.96,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,持久音频批次/ACK和未ACK本机队列；保留原段按缺口重试；摘要源版本/完整输入快照，旧来源明确未知；原稿上限1Mi Unicode字符且超限不裁尾，原稿/来源每页16384字符、分段每页10条；版本局部编辑/完整导出，4MiB桥接帧不扩容,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-meetings-acceptance.md；implementation/phase2-conversation.md,待同一源码六组回执与逐模块复核,,真实麦克风/系统音频、长会、睡眠/热拔插
同事聊天,1,3.4,2.8,2,2.4,3.4,2.80,3.58,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,可信配对、每收件人outbox/落盘ACK、文件确认、分页；文件最多32MiB,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-system.md,待同一源码六组回执与逐模块复核,,两台以上真实设备的发现、网络、拒绝/接收文件
电脑控制,2,3.8,2.8,1.5,2,3.2,2.66,3.86,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,已有Windows Host接口、目标身份、撤权、急停、未决intent恢复和配置CAS,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,白名单应用真实UIA/输入法/DPI/多屏和急停耗时
项目管理,2,3.2,1.5,2.6,1.8,2.6,2.34,3.66,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,三类项目阶段/交付物门禁，100活跃项目/组织；归档不占活跃配额,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,实际项目验收标准与交付物业务正确性
计划与工作流,1,3,1.4,2.8,1.5,2.6,2.26,3.10,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,计划接现有agentrun、任务工作区、真实文件摘要；本地dev/stage制品发布,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,真实模型/工具生成质量；正式外部prod需配置真实执行协议
