模块,权重,功能闭环_5,数据一致性_5,权限边界_5,失败恢复_5,可维护与验证_5,模块均分_5,证据置信度,主要依据,整改目标_5
"打字对话","2","3.8","3","3.8","3","3.4","3.40","高","CVM-01","4.9"
"云端语音 cloud","2","3.8","3.2","3.5","3.1","3.4","3.40","中","CVM-01；真实声学未测","4.9"
"本地语音 local","2","3","2.8","3.5","2.3","2.4","2.80","高","CVM-02/11","4.9"
"火山语音 volc 默认级联","2","3.7","3.1","3.4","3","3.3","3.30","中","继承聊天恢复缺口；真实服务未测","4.9"
"可选 realtime 子链","1","2.7","1.6","3","1.8","2.4","2.30","高","CVM-08/09","4.9"
"会议纪要","2","3.4","1.8","3.3","1.9","2.6","2.60","高","CVM-03/04/05/06/07/10","4.9"
"同事聊天","1","3.4","2.8","2","2.4","3.4","2.80","高","SYS-04/05","4.9"
"电脑控制","2","3.8","2.8","1.5","2","3.2","2.66","高","CPA-10/11/12","4.9"
"项目管理","2","3.2","1.5","2.6","1.8","2.6","2.34","高","CPA-01/02/03","4.9"
"计划与工作流","1","3","1.4","2.8","1.5","2.6","2.26","高","CPA-07/08/09/19/20","4.9"
"技能中心","2","2.5","2.5","3","3","3","2.80","高","EXT-03/04","4.9"
"插件与能力包中心","2","2","1.5","1","2","2.5","1.80","高","EXT-01/08/14","4.9"
"MCP","2","2.5","1.5","1.5","2.5","3","2.20","高","EXT-02/05/06/07/13/15","4.9"
"专家中心","2","3","2","2.5","2","3","2.50","高","EXT-09","4.9"
"资产管理","1","3.5","1.7","3","2","2.6","2.56","高","CPA-04/05/06/17/18","4.9"
"后台设置与模型配置","1","4","3","2.5","3.3","3.7","3.30","中","SYS-07/09；状态必须来自执行事实","4.9"
"外部数据库连接","1","3.5","3","1.5","3","3","2.80","高","SYS-02/03/09","4.9"
"专家知识与资料查新","1","2.5","1.5","2","2","2.5","2.10","高","EXT-10/11/12/16","4.9"
"个人记忆与召回","1","3.5","3.2","3.3","2.8","3.2","3.20","低","仅关联路径和原套件；未独立质量评测","4.9"
"命令与人工终端","1","3.8","2.8","3","2","2.9","2.90","中","CPA-13/14/15","4.9"
"浏览器工作区","1","3.8","3","3","2.7","3.2","3.14","低","CPA-21；真实浏览器网络边界未测","4.9"
"自动化与消息连接器","1","3.4","3","3","2.5","3.1","3.00","低","路由/原套件；外部触发与发送未验","4.9"
"组织与协作隔离","1","3.2","2.7","1.8","2.6","2.7","2.60","低","CPA-16；同机组织隔离待收口","4.9"
"MRO 关联工作台","1","3.5","3","3","2.8","3.2","3.10","低","原套件/资料依赖；业务实地未验","4.9"
