任务ID,阶段,交付范围,证据ID,设计和夹具可开始,合并或退出依赖,责任角色,退出条件,实施状态,实施证据,代码交付责任,用户验证责任
B00,M0/M1,冻结支持矩阵、原套件与36反例基线,全部,B00后；B00本身无前置,无,TL/QA,正确性回归红灯可复现、未验项登记,支持范围、历史基线及反例登记已完成；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-verification.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：确认自身设备/供应商组合后执行对应矩阵
B01,M0/M1,UoW panic/rollback与健康降级,SYS-01/07,B00后；B00本身无前置,B00,BE,事务异常后连接恢复或明确隔离,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-system.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B02,M0/M1,全入口能力判定与撤权epoch,EXT-01；SYS-03,B00后；B00本身无前置,B00,BE/SEC,停用后所有适用入口零执行,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-extensions.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B03,M0/M1,CC目标绑定、取消、急停与intent/receipt,CPA-10/11/12,B00后；B00本身无前置,B01/B02,BE/QA,四个探针转绿，真机急停门槛满足,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-projects.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B04,M0/M1,DSN规范化、显式数据库写权限/幂等,SYS-02/03/09,B00后；B00本身无前置,B01/B02,BE/SEC,地址覆盖/手动审批写零绕过,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-system.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B05,M0/M1,同事发送者/群/文件帧范围校验,SYS-04,B00后；B00本身无前置,B00,BE/SEC,两个探针转绿，跨成员矩阵通过,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-system.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B06,M0/M1,依赖告警修复与前端渲染预算,SYS-06,B00后；B00本身无前置,B00,FE/QA,锁文件扫描审查、图形恶意输入受控,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过；npm audit 0 项，govulncheck 可达告警0、模块级提示1（GO-2026-5932）独立登记,implementation/phase2-conversation.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
B07,M0/M1,移除假成功/假扫描；准确能力文案,EXT-03/05/14；CVM-11,B00后；B00本身无前置,B00,FE/BE,生产无mock扫描，界面状态有依据,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-extensions.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
C01,M2,多turn持久恢复、旧checkpoint导入,CVM-01,B00后；B00本身无前置,B01,BE/FE,多轮落盘失败跨重启不丢,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-conversation.md；implementation/phase2-queue.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
C02,M2,PCM分片/有界队列/尾帧契约共享,CVM-02,B00后；B00本身无前置,B00,FE/BE,所有默认链帧契约一致,代码实现与专项回归通过；同源六组统一门禁全部通过（go/race/web/static/security/release-tools）；用户实机验收不计入自动化通过,implementation/phase2-conversation.md；implementation/evidence/phase2-verification-results.json,实施方,待用户验收：真机/真实外部服务或正式部署适用项；不代替代码门禁
