"模块","权重","功能闭环_5","数据一致性_5","权限边界_5","失败恢复_5","可维护与验证_5","模块均分_5","证据置信度","主要依据","整改目标_5","整改前模块均分_5"
"打字对话","2","4.3","4.3","4.0","4.1","3.8","4.10","工程暂评；真实环境未完成","C01；永久turn去重、长回复分片、取消/删除/回退/重开；极端容量及真崩溃待验","4.9","3.40"
"云端语音 cloud","2","4.1","4.1","3.6","3.6","3.5","3.78","工程暂评；真实环境未完成","继承C01；设备/外部ASR-TTS实测待验","4.9","3.40"
"本地语音 local","2","3.8","3.9","3.6","3.6","3.7","3.72","工程暂评；真实环境未完成","C02/C03共享合法PCM与停止释放；本地模型/麦克风真机待验","4.9","2.80"
"火山语音 volc 默认级联","2","4.0","4.1","3.5","3.6","3.7","3.78","工程暂评；真实环境未完成","C01/C02/C03；实际火山服务与设备待验","4.9","3.30"
"可选 realtime 子链","1","3.8","4.2","3.6","3.6","3.5","3.74","工程暂评；真实环境未完成","C06最终转写先落库与稳定身份；真服务/长转写边界待验","4.9","2.30"
"会议纪要","2","4.0","4.3","3.6","4.1","3.8","3.96","工程暂评；真实环境未完成","C04/C05摘要CAS、持久批次ACK、补转写范围；未确认PCM跨渲染重启待实现","4.9","2.60"
"同事聊天","1","3.6","3.2","4.1","3.5","3.5","3.58","工程暂评；真实环境未完成","B05每帧身份、群成员、文件边界与关闭socket；S05交付outbox待实现","4.9","2.80"
"电脑控制","2","3.9","4.0","4.0","3.6","3.8","3.86","工程暂评；真实环境未完成","B03意图审计、取消/急停/目标复核；真机不可中断窗口和重启对账待验","4.9","2.66"
"项目管理","2","3.6","4.1","3.3","3.8","3.5","3.66","工程暂评；真实环境未完成","P01/P02/P03事务/完整幂等/计划状态修复；真实发布证据待接入","4.9","2.34"
"计划与工作流","1","2.4","3.8","3.0","3.1","3.2","3.10","工程暂评；真实环境未完成","停止虚写完成；P04真正执行器未交付，功能维度不因止血自动加分","4.9","2.26"
"技能中心","2","4.0","4.1","3.7","3.7","3.9","3.88","工程暂评；真实环境未完成","E03真实固定归档导入及草稿/发布/调用；E04客户端CAS；更广执行治理待完成","4.9","2.80"
"插件与能力包中心","2","2.8","3.0","3.3","3.1","3.0","3.04","工程暂评；真实环境未完成","B02执行时检查，MCP撤销已实现；普通插件在途epoch/完整依赖图未完成","4.9","1.80"
"MCP","2","3.5","3.8","3.0","3.8","3.7","3.56","工程暂评；真实环境未完成","E01实际生命周期/容量/撤销回归；E02认证和schema固定待实现","4.9","2.20"
"专家中心","2","3.7","4.0","3.2","3.6","3.7","3.64","工程暂评；真实环境未完成","E06正文不可变文件与DB原子发布；历史装备快照/孤立文件回收待完成","4.9","2.50"
"资产管理","1","3.8","4.0","3.4","4.0","3.9","3.82","工程暂评；真实环境未完成","P05分片/摘要/创建幂等/ACK不确定处理；异常孤儿文件对账待完成","4.9","2.56"
"后台设置与模型配置","1","4","3","2.5","3.3","3.7","3.30","工程暂评；真实环境未完成","SYS-07/09；状态必须来自执行事实","4.9","3.30"
"外部数据库连接","1","3.2","3.0","3.9","2.8","3.0","3.18","工程暂评；真实环境未完成","B04有效DSN/loopback/只读/脱敏；明确写授权未实现，真实数据库未验","4.9","2.80"
"专家知识与资料查新","1","3.6","4.0","3.5","3.5","3.4","3.60","工程暂评；真实环境未完成","E07/E08当前版本召回、引用绑定、失败可重试；大文件/语义质量待验","4.9","2.10"
"个人记忆与召回","1","3.5","3.2","3.3","2.8","3.2","3.20","工程暂评；真实环境未完成","仅关联路径和原套件；未独立质量评测","4.9","3.20"
"命令与人工终端","1","3.8","2.8","3.0","3.5","3.2","3.26","工程暂评；真实环境未完成","E09输出限量/异步进度/UTF8；Job失败与终端生命周期仍待完成","4.9","2.90"
"浏览器工作区","1","3.8","3","3","2.7","3.2","3.14","工程暂评；真实环境未完成","CPA-21；真实浏览器网络边界未测","4.9","3.14"
"自动化与消息连接器","1","3.4","3","3","2.5","3.1","3.00","工程暂评；真实环境未完成","路由/原套件；外部触发与发送未验","4.9","3.00"
"组织与协作隔离","1","3.2","2.7","1.8","2.6","2.7","2.60","工程暂评；真实环境未完成","CPA-16；同机组织隔离待收口","4.9","2.60"
"MRO 关联工作台","1","3.5","3","3","2.8","3.2","3.10","工程暂评；真实环境未完成","原套件/资料依赖；业务实地未验","4.9","3.10"
