"任务ID","阶段","交付范围","证据ID","设计和夹具可开始","合并或退出依赖","责任角色","退出条件","实施状态"
"B00","M0/M1","冻结支持矩阵、原套件与36反例基线","全部","B00后；B00本身无前置","无","TL/QA","正确性回归红灯可复现、未验项登记","已保留整改前基线；实施版记录已建立，真实支持矩阵待冻结"
"B01","M0/M1","UoW panic/rollback与健康降级","SYS-01/07","B00后；B00本身无前置","B00","BE","事务异常后连接恢复或明确隔离","已实现并定向验证：回滚、连接池隔离、数据库readiness；待真实故障演练"
"B02","M0/M1","全入口能力判定与撤权epoch","EXT-01；SYS-03","B00后；B00本身无前置","B00","BE/SEC","停用后所有适用入口零执行","部分实现：实际工具/LLM/语音入口检查；MCP在途撤权；通用epoch待完成"
"B03","M0/M1","CC目标绑定、取消、急停与intent/receipt","CPA-10/11/12","B00后；B00本身无前置","B01/B02","BE/QA","四个探针转绿，真机急停门槛满足","已修17项隔离回归并race；真机急停与崩溃intent对账待验"
"B04","M0/M1","DSN规范化、显式数据库写权限/幂等","SYS-02/03/09","B00后；B00本身无前置","B01/B02","BE/SEC","地址覆盖/手动审批写零绕过","部分实现：DSN/查询只读/脱敏；显式写审批与持久幂等待完成"
"B05","M0/M1","同事发送者/群/文件帧范围校验","SYS-04","B00后；B00本身无前置","B00","BE/SEC","两个探针转绿，跨成员矩阵通过","已实现身份/群成员/线程ID碰撞/文件边界/关闭socket并集成回归；跨设备矩阵待验"
"B06","M0/M1","依赖告警修复与前端渲染预算","SYS-06","B00后；B00本身无前置","B00","FE/QA","锁文件扫描审查、图形恶意输入受控","npm扫描0；Go升级x/crypto相关模块后可达命中0；Mermaid预算/strict已验，CPU隔离待补"
"B07","M0/M1","移除假成功/假扫描；准确能力文案","EXT-03/05/14；CVM-11","B00后；B00本身无前置","B00","FE/BE","生产无mock扫描，界面状态有依据","待实施或验收；见implementation/PRD-review-and-execution.md"
"C01","M2","多turn持久恢复、旧checkpoint导入","CVM-01","B00后；B00本身无前置","B01","BE/FE","多轮落盘失败跨重启不丢","journal/跨24h去重/分片/取消删除回退/旧文件权限/空草稿已集成验证；极端容量和真崩溃待验"
"C02","M2","PCM分片/有界队列/尾帧契约共享","CVM-02","B00后；B00本身无前置","B00","FE/BE","所有默认链帧契约一致","共享PCM分片已实现，定向通过；全链路待验"
"C03","M2","捕获/播放租约、立即停止与终态清理","CVM-03/09","B00后；B00本身无前置","C02","FE","所有结束路径设备释放目标达成","早停麦/终态释放已实现，定向通过；设备耗时待测"
