模块,权重,整改前均分_5,当前工程_功能闭环_5,当前工程_数据一致性_5,当前工程_权限边界_5,当前工程_失败恢复_5,当前工程_可维护与验证_5,当前工程暂评_5,目标_5,证据判断与扣分说明,实机评分
打字对话,2,3.40,4.8,4.8,4.8,4.8,4.5,4.74,4.9,入口、确认回执、上下文、产物与建议已补组合回归；主会话组件仍较集中,待真实环境验收
云端语音 cloud,2,3.40,4.7,4.8,4.8,4.7,4.4,4.68,4.9,系统识别与 TTS 适配保留，任务播报补齐；设备准确率另验，语音状态复杂度仍高,待真实环境验收
本地语音 local,2,2.80,4.7,4.8,4.8,4.7,4.4,4.68,4.9,本地识别和播报路径保留；模型加载、声卡和冷启动另验,待真实环境验收
火山语音 volc 默认级联,2,3.30,4.8,4.8,4.8,4.8,4.4,4.72,4.9,取消截断，工具与完整播报共用执行链；真实供应商时延另验,待真实环境验收
可选 realtime 子链,1,2.30,4.7,4.8,4.8,4.7,4.4,4.68,4.9,声音互斥、工具接管、旧连接失效已补；供应商打断时序需实测,待真实环境验收
会议纪要,2,2.60,4.8,4.8,4.8,4.8,4.6,4.76,4.9,系统声取帧、队列提交与设备恢复已补；真实多音源另验,待真实环境验收
同事聊天,1,2.80,4.8,4.8,4.8,4.8,4.6,4.76,4.9,真实 TCP 回执和截图失败后再发送已验；跨设备网络另验,待真实环境验收
电脑控制,2,2.66,4.6,4.8,4.8,4.7,4.5,4.68,4.9,目标窗口隔离、串行和观测校验已补；任意软件/未知文件选择仍有能力边界,待真实环境验收
项目管理,2,2.34,4.8,4.8,4.8,4.7,4.6,4.74,4.9,保留正式项目阶段与版本校验，对话上下文兼容修复,待真实环境验收
计划与工作流,1,2.26,4.7,4.8,4.8,4.7,4.6,4.72,4.9,保留已有流程、恢复与审计；本轮未新增通用工作流运行时,待真实环境验收
技能中心,2,2.80,4.8,4.8,4.8,4.7,4.6,4.74,4.9,保留导入、发布、停用和执行范围；窄窗口适配,待真实环境验收
插件与能力包中心,2,1.80,4.7,4.8,4.8,4.8,4.6,4.74,4.9,修复 MCP 预设依赖与凭据配置后续装；第三方组合实际安装另验,待真实环境验收
MCP,2,2.20,4.6,4.8,4.8,4.8,4.6,4.72,4.9,支持标准远程协议、重装与凭据，目录复核；OAuth及部分上游手动构建不在实现范围,待真实环境验收
专家中心,2,2.50,4.8,4.8,4.8,4.7,4.6,4.74,4.9,修复身份初始化与专家后台生命周期；保留知识和挂载流程,待真实环境验收
资产管理,1,2.56,4.8,4.8,4.8,4.8,4.6,4.76,4.9,读取预算、超时解锁、分页和生命周期保留，损坏索引不覆盖,待真实环境验收
后台设置与模型配置,1,3.30,4.7,4.8,4.8,4.7,4.6,4.72,4.9,16 分类保留；黑白和滚动修整；部分复杂配置仍需更直观引导,待真实环境验收
外部数据库连接,1,2.80,4.7,4.8,4.8,4.7,4.6,4.72,4.9,保留只读探测、受控写入及参数校验；真实数据库另验,待真实环境验收
专家知识与资料查新,1,2.10,4.7,4.8,4.8,4.7,4.6,4.72,4.9,实际主体绑定修复；来源权限与真实数据更新时效另验,待真实环境验收
个人记忆与召回,1,3.20,4.8,4.8,4.8,4.8,4.6,4.76,4.9,每周归档、重启补做、单会话及明确回忆请求组合回归,待真实环境验收
命令与人工终端,1,2.90,4.8,4.8,4.8,4.7,4.6,4.74,4.9,保留执行边界与恢复，语音共用已授权能力,待真实环境验收
浏览器工作区,1,3.14,4.7,4.8,4.8,4.7,4.6,4.72,4.9,保留浏览器运行时，Playwright MCP 为可选能力；真实站点另验,待真实环境验收
自动化与消息连接器,1,3.00,4.7,4.8,4.8,4.7,4.6,4.72,4.9,保留已有通道；语音可共用，实际发送未对真实联系人验证,待真实环境验收
组织与协作隔离,1,2.60,4.8,4.8,4.8,4.8,4.6,4.76,4.9,兼容旧个人作用域并维持组织隔离，真实 SQLite 验证,待真实环境验收
MRO 关联工作台,1,3.10,4.7,4.8,4.8,4.7,4.6,4.72,4.9,分页完整性及8秒客户端预算复核，保留业务计算与只读边界,待真实环境验收
